snap(-20,-20,-20)
sky(26,38,52)
fog(32,63,94)
clouds(255,255,255,3,-1062)
ground(250,226,162)
texture(0,0,0,20)
fadefrom(6000)
density(3)
mountains(99406)
soundtrack(enter,156,138)
nlaps(3)
lightson()
maxhit(1.5)
desc(0,NFM has an upper limit in place on how hard a car can hit another)
desc(1,car. In this stage, that limit is increased! Enjoy the madness.)

set(47,0,0,0)p
set(38,0,-5000,0)
set(38,0,-3000,0)
set(38,0,-1000,0)
set(38,0,1000,0)
set(38,0,3000,0)
set(10,0,5600,0)p
set(26,0,5600,0)pr
set(22,0,8960,180)
set(18,0,12320,0)p
set(18,0,17920,0)p
chk(40,0,20720,0)
set(19,0,22470,-90)pt
set(18,-4550,22470,90)p
set(18,-10150,22470,90)p
set(36,-6190,24280,0)
set(36,-8150,24280,0)
set(36,-10110,24280,0)
set(22,-13510,22470,90)
set(10,-16870,22470,90)p
chk(40,-19670,22470,90)
set(14,-21420,22470,0)pt
set(10,-21420,17920,0)p
set(27,-21420,14320,180)pr
set(22,-21420,14560,0)p
set(18,-21420,11200,0)
set(18,-21420,5600,0)p
set(25,-19960,8600,-90)
set(36,-18850,8600,-90)
set(25,-22880,8600,90)
set(36,-23990,8600,90)
set(25,-19960,6640,-90)
set(36,-18850,6640,-90)
set(25,-22880,6640,90)
set(36,-23990,6640,90)
set(25,-19960,4680,-90)
set(36,-18850,4680,-90)
set(25,-22880,4680,90)
set(36,-23990,4680,90)
set(37,-21520,9140,0)
set(37,-21320,8140,0)
set(37,-21520,7140,0)
set(37,-21320,6140,0)
set(37,-21520,5140,0)
set(37,-21320,4140,0)
set(18,-21420,0,0)p
set(22,-21420,-3360,180)
chk(40,-21420,-3920,0)
set(14,-21420,-5670,180)pt
set(14,-24920,-5670,90)pt
set(13,-26440,-1090,30)p
set(10,-27960,4540,0)p
set(28,-27960,7340,0)pr
set(10,-27960,10140,0)p
set(10,-27960,15740,0)p
set(10,-27960,20920,0)p
chk(40,-27960,23720,0)
set(14,-27960,25470,0)pt
set(10,-23410,25470,90)p
set(10,-17810,25470,90)
set(30,-16010,25470,-90)
set(23,-15010,25470,90)
set(37,-10750,25620,90)
set(37,-10750,25320,90)
set(36,-10110,26660,180)
set(36,-8150,26660,180)
set(36,-6190,26660,180)
set(37,-5550,25620,90)
set(37,-5550,25320,90)
set(23,-1290,25470,-90)
set(30,-290,25470,90)
set(10,1510,25470,90)p
set(10,4310,25470,90)p
chk(40,7110,25470,90)
set(14,8860,25470,180)pt
set(14,8860,28470,-90)pt
set(10,4310,28470,90)p
set(10,-1290,28470,90)p
set(22,-4650,28470,-90)
set(18,-8010,28470,90)p
set(18,-13610,28470,90)p
set(18,-19210,28470,90)p
set(21,-24810,28470,-90)p
set(15,-30410,28470,90)p
chk(42,-33210,28470,90)
set(17,-34960,28470,0)pt
set(15,-34960,23920,0)p
set(15,-34960,18320,0)p
set(34,-34960,15520,0)pr
fix(41,-34960,11420,-2000,0)s
set(15,-34960,12720,0)p
set(20,-34960,7120,180)p
set(10,-34960,1520,0)p
set(30,-34960,1520,0)
set(10,-34960,-4080,0)p
set(10,-34960,-6880,0)p
chk(40,-34960,-9680,0)
set(14,-34960,-11430,90)pt
set(10,-30410,-11430,90)p
set(20,-24810,-11430,90)p
set(15,-19210,-11430,90)p
chk(42,-16410,-11430,90)
set(17,-14660,-11430,180)pt
set(15,-14660,-6880,0)p
set(35,-15160,-4080,0)pr
set(35,-14160,-4080,0)
set(24,-14660,-4080,0)
set(23,-14660,4920,0)
set(37,-14660,4420,0)
set(37,-14660,5420,0)
set(23,-14660,4920,180)
set(23,-14660,14920,0)
chk(40,-14660,14920,0)
set(14,-14660,16670,0)pt
set(10,-10610,16670,90)p
set(14,-6540,16670,-90)pt
set(10,-6540,12120,0)p
chk(40,-6540,9320,0)
set(13,-5020,6490,30)p
chk(40,-3500,3660,0)
set(12,-5020,830,-30)p
chk(40,-6540,-2000,0)
set(13,-5020,-4830,30)p
chk(40,-3500,-7660,0)
set(14,-3500,-9410,90)pt
set(14,0,-9410,180)pt
set(10,0,-4860,0)p
set(24,4825,-2800,180)
set(16,4825,0,0)
set(16,4825,5600,0)
set(24,4825,8400,0)

maxr(10,10500,-13100)
maxb(10,-15500,-35100)
maxl(10,-37500,-13100)
maxt(10,32500,-35100)
